yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.0,-23.83,-72.99,-3.62,-2.4,-1.52,0.36,-0.94,-0.05
-0.9,-24.1,-73.68,-3.11,-1.55,-3.47,0.35,-0.95,-0.08
-3.99,15.32,-63.52,36.88,156.88,-15.3,0.55,-1.42,1.07
29.03,28.15,-1.49,250.13,56.15,112.0,0.47,-1.96,0.66
0.98,17.08,44.41,175.92,-36.86,3.79,0.26,0.6,-0.47
-6.38,1.35,23.02,-89.82,-56.97,-24.0,0.25,0.63,-0.02
-10.0,-42.83,-38.03,-229.02,-175.9,-4.0,0.08,-0.82,0.21
7.25,27.03,-92.08,-242.1,-12.98,143.0,1.29,-1.77,0.98
51.1,50.9,-33.28,-0.53,186.44,24.03,0.0,0.0,1.29
64.78,-8.56,-54.24,-83.27,-223.06,250.0,0.67,-0.8,0.02
22.6,-28.11,-65.31,-44.5,-73.95,87.2,-0.08,0.25,0.32
0.93,-43.07,-60.78,-9.32,14.31,-42.89,0.72,-0.61,0.13
28.22,-8.76,52.66,-110.33,-104.89,-4.0,0.78,-1.07,0.13
-11.15,-5.67,50.47,-250.14,-116.43,10.0,0.46,-0.84,-0.09
-12.3,-33.03,22.96,-185.57,-26.99,133.0,0.4,0.94,-0.48
28.1,-63.13,-41.24,-0.11,62.86,1.05,0.26,0.32,0.11
34.8,-68.47,-88.15,154.45,54.72,-182.0,1.22,-0.39,0.72
-47.0,-35.16,-44.03,106.36,201.33,-250.0,0.87,-1.52,0.55
-65.0,16.58,-17.74,0.0,0.0,0.0,0.36,-1.02,0.07
10.33,0.04,-17.79,-38.11,-84.88,234.0,1.03,-1.18,0.66
60.8,-43.58,-37.13,77710.0,0.0,-1.0,-0.01,-0.29,0.24
3.6,-104.24,-38.78,-5.14,-32.73,15.37,0.25,0.17,0.58
0.0,0.0,3.86,89.81,53.85,-28.03,2.0,-0.97,0.44
-7.2,-91.76,-19.09,201.08,-163.56,28.0,0.49,-0.99,0.26
7.33,-108.16,74.16,-54.84,-34.91,-15.0,0.73,0.25,-0.23
-3.9,-113.65,59.89,-171.58,52.11,-97.0,0.42,0.78,0.18
-25.2,-98.52,15.59,-250.14,-73.8,-66.0,0.33,0.13,0.15
-17.0,-113.85,-49.54,9.16,26.44,41.4,0.36,-0.89,-0.14
20.57,0.0,8.0,33.36,195.27,-30.0,0.34,-1.12,0.52
10.0,-158.9,-46.36,-34.14,-51.78,155.0,-0.77,-0.0,0.36
